Name,Type,Subtype,Prerequisite,Description,2024 Notes,Martial,Spellcasting,Mastery,Offensive,Defensive,Skill,Racial,Flavour,Exclusive,Prereq,Rest,Exploration,Roleplay,Movement,Meta,Piety
Chaos Rest,Chromatic,Chaos,25+ piety with Tiamat,"Whenever you take a short rest, roll thrice on the {@table Chaos Rest Table|oreorenth}. Each of these effects apply to you. ",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Fivehead,Chromatic,Chaos,10+ piety with tiamat,"5 times per Long Rest when you fail a saving throw you may add 1d4 to the roll, possibly turning it into a success.  ",Tier 2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Chaotic Spellcasting,Chromatic,Chaos,Spellcasting or Pact Magic,Instead of casting a specific spell you can also choose to roll a die. Pick a spell level and count how many spells of that level you have prepared that take an action to cast. Roll a die with that many faces and the spell that it lands on gets cast. The spell is cast as if it was cast with a spellslot level one higher than the one used. ,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dyslectik Spellcasting,Chromatic,Chaos,Spellcasting,"When you cast a spell, you may change one letter of the spell, and the effect accordingly. The power of the spell remains approximately the same. Uses: 1/Long rest ",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chromatic Snack Summoner,Chromatic,Chaos,,"You may traitcast Summon Beast using Wisdom. The type of beast it summons depends on the Chromatic type you associate with as seen in the {@table Snack Summon table|oreorenth}
When you traitcast the spell it requires no components. If you kill the beast you regain a number of hit points equal to 5 times your proficiency bonus. Once you attack the beast it is no longer an ally and will fight back, but won’t run. ",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Power from Wealth,Chromatic,Fire,,For every 500 gp in gold coins you have on you (that is part of your personal wealth and not shared with anyone) during a long rest your current and maximum hit points increase by 1 to a maximum of twice your original maximum hp. This benefit lasts until the end of your next long rest. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Fire born of the Sun,Chromatic,Fire,Two Orenth traits with the Fire subtype,You may pick a tier 3 Cosmic (Sun) Orenth trait. Additionally this trait counts as a tier 3 Cosmic Orenth trait for the purpose of gaining access to further orenth traits. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Conductivity,Chromatic,Lightning,,"As an action point towards a willing creature within 100 feet of you that has a Lightning Orenth trait. You cast Lightning Bolt in their direction, using Wisdom as your spellcasting ability, but the spell ends at their location and they aren't affected. Uses: Wisdom/Long rest",,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Acidous Weakness,Chromatic,Water,,Whenever you take slashing damage you may deal acid damage equal to your level to any creature of your choice within 10 feet of you. ,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Merciless Strikes,Chromatic,Weapon Mastery,,"Whenever you hit a prone, unconscious or paralyzed creature with a weapon attack, you may deal additional fire damage to them equal to your Wisdom modifier.  ",,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Flying Charge,Chromatic,Weapon Mastery,Exclusive,"Choose a weapon that you have proficiency with that has the Reach property. For every 10 feet you move straight toward a creature before hitting it with an attack with this weapon, the target takes an extra 1d6 damage. ",Remove,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Frozen Winds,Chromatic,Wind,,Twice per turn when you push a creature you may deal 1d4 cold damage to the creature for every 10 feet you push them,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Flyby,Chromatic,Wind,,"When you make a melee attack against a creature while flying, you don't provoke opportunity attacks from that creature for the rest of the turn, whether you hit or not.",,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Elemental Spellcasting,Chromatic,,"A Tier 2 fire, lightning, wood, water or cold orenth trait",Whenever you cast a spell that deals elemental damage you can choose to change the damage type to the damage type associated with your previous orenth trait. Whenever you cast a spell that deals the same damage as your previously chosen orenth trait you may deal an additional 1d6 damage of that type. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chromatic Resistance,Chromatic,,,"Resistance* You gain resistance to fire, lightning, poison, acid or cold damage. 
Elemental Attacks* Once on your turn you may deal additional damage equal to your proficiency bonus when you hit with an attack roll. The type of damage is the same as the one you became resistance to. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jumping Spark,Chromatic,Weapon Mastery,Exclusive,You gain the benefits of the {@optfeature Cleave| ingensorenth} Orenth trait. Before you make the second attack you may move 10 feet without provoking opportunity attacks or using your movement. You must end this movement in a place where you can reach your second target. ,Make dependent on having Cleave mastery or just make it move you after you hit an attack,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jumping Lightning,Chromatic,Weapon Mastery,{@optfeature Jumping Spark|chromaticorenth},"You may move up to 15 feet whenever you use your Jumping Charge ability. Additionally, whenever you cleave attack hits you may move again and strike a different target. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Synced Spellcasting,Cosmic,Abberant,,"When a creature casts a spell within 60 feet of you that you have prepared, you can use your reaction to expend a spell slot to cast the same spell. The spell slot must be of the same or lower level as the triggering spell. ",Remove? ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Interrupted Teleport,Cosmic,Abberant,,"As a reaction to a creature teleporting within 60 feet of you can make an opposed Intelligence (Arcana) check against the teleporter. On a success you interrupt their teleport, causing them to only travel half the distance they intended to and taking 1d6 force damage for every 10 feet they intended to teleport (to a maximum number of dice equal to your level). On a success, they teleport successfully and only take half damage. Uses: Intelligence/Long rest. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Eldritch Doom,Cosmic,Abberant,,When you deal damage to a creature you can Doom them. While they are Doomed they take an additional 1d4 damage whenever they take damage. Uses: 1/Long rest,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Swarm in disguise,Cosmic,Abberant,,"Space Occupation* You can occupy another creature's space and vice versa, and you can move through any opening large enough for a Tiny creature. 
Resistance* You become resistant to bludgeoning, piercing and slashing damage. 
Lessened Healing* Whenever you regain hit points or gain temporary hit points you only get half. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Horrific Jaw,Cosmic,Abberant,Ability to make a Bite attack,"You unhinge your jaw and attempt to swallow a creature whole. When you hit a creature of equal or smaller size than you with a bite attack, you may attempt to swallow it whole. It must succeed on a Dexterity saving throw (DC = 8+ your proficiency bonus + your Constitution modifier). On a failure, it gets swallowed into a pocket dimension, which it can attempt to escape at the end of each of its turns by repeating the saving throw, if it succeeds on a consequent turn it appears in an unoccupied space within 5 feet you. On a success, nothing happens.  Constitution/Long rest",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Incomprehendable Mind,Cosmic,Abberant,,You become immune to psychic damage. ,Boring,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Demiplanar Stomach,Cosmic,Abberant,,Your mouth functions as a bag of holding. ,Fun,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
